,guid,english,greek,n_s,n_p,a_s,a_p,g_s,g_p,gender,tag,sub tag 1,sub tag 2
274,z=^N[|CpVt,suit jacket/blazer,σακάκι,ι,ια,ι,ια,ιού,ιών,neuter,clothing,,
275,gKYMMv4CnD,sun,ήλιος,ος,οι,ο,ους,ου,ων,masculine,nature ,,
276,hKk-UP/Q4t,sunday,κυριακή,ή,ές,ή,ές,ής,ών,feminine,time,days,
277,JIM`>xd3o{,sweater,πουλόβερ,-,-,-,-,-,-,neuter,clothing,,
278,g0|e4d*IZ|,swimsuit,μαγιό,ό,ά,ό,ά,ού,ών,neuter,clothing,,
279,KQI9M18>-2,t-shirt,κοντομάνικο,ο,α,ο,α,ου,ων,neuter,clothing,,
280,IPBFgV+ca7,table,τραπέζι,ι,ια,ι,ια,ιού,ιών,neuter,school,,
281,k=zXDs.ZXT,teacher (f),δασκάλα,α,ες,α,ες,ας,-,feminine,occupation,,
282,gY9hycbIx3,teacher (m),δάσκαλος,ος,οι,ο,ους,ου,ων,masculine,occupation,,
283,qv}DhOZL6i,teeth,δόντι,ι,ια,ι,ια,ιού,ιών,neuter,body,,
284,c7#))$n|R*,television,τηλεόραση,η,εις,η,εις,εως,εων,feminine,home,area,livingroom
285,lM6o7UDX@o,thing,πράγμα,α,ατα,α,ατα,ατος,άτων,neuter,,,
286,d?[9I/h1+d,thursday,πέμπτη,η,ες,η,ες,ης,ών,feminine,time,days,
287,CziDmPLh!h,toilet,τουαλέτα,α,ες,α,ες,ας,ών,feminine,home,area,bathroom
288,TazUdMzlq5,tomato ,ντομάτα,α,ες,α,ες,ας,ών,feminine,food,vegetables,
289,t/y-W0[zKI,toothbrush,οδοντόβουρτσα,α,ες,α,ες,ας,ών,feminine,home,area,bathroom
290,jPcOo:Ve5k,toothpaste,οδοντόκρεμα,α,ες,α,ες,ας,-,feminine,home,area,bathroom
291,xUX}`i[U%%,toung,γλώσσα,α,ες,αν,ες,ας,ών,feminine,body,,
292,K5I#y/{?I:,towel,πετσέτα,α,ες,α,ες,ας,ών,feminine,home,area,bathroom
293,u>O93dLI7O,toy,παιχνίδι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,bedroom
294,pNSZsr8axz,train,τρένο,ο,α,ο,α,ου,ων,neuter,transport,,
295,ZIakZjHUhX,train station,σιδηροδρομικός σταθμός,ός,οί,ό,ούς,ού,ών,masculine,transport,,
296,8NZPzQ5A0i,tree,δέντρο,ο,α,ο,α,ου,ων,neuter,nature,,
297,166Sk0R6p9,"truck, van",φορτηγό,ό,ά,ό,ά,ού,ών,neuter,transport,,
298,vdLm[=V}Pz,tuesday,τρίτη,η,ες,η,ες,ης,ών,feminine,time,days,
299,O]9YE8=Ke:,umbrella,ομπρέλα,α,ες,α,ες,ας,ών,feminine,,,
300,z%Kyq*LC1&,uncle,θείος,ος,οι,ον,ους,ου,ων,masculine,person,,
301,t2[GTDqVWu,vase,βάζο,ο,α,ο,α,ου,ων,neuter,home,area,livingroom
302,ioBfTuRpeH,wall,τείχος,ος,η,ος,η,ους,ών,masculine,home,,
303,sc5agSwCj<,wallet,πορτοφόλι,ι,ια,ι,ια,ιού,ιών,neuter,,,
304,f}.h}O0j[(,water,νερό,ό,ά,ό,ά,ού,ών,neuter,drink,,
305,fLKPnNuaF4,watermelon ,καρπούζι,ι,ια,ι,ια,ιού,ιών,neuter,food,fruit,
306,A$_UZPs;Yl,weather,καιρός,ός,οί,ό,ούς,ού,ών,masculine,,,
307,O=>T:VH{1R,wednesday,τετάρτη,η,ες,η,ες,ης,ών,feminine,time,days,
308,dc;ojdr5}7,wheel,ρόδα,α,ες,α,ες,ας,ών,feminine,,,
309,Ew+>+RdWvT,whisk,σύρμα,α,ατα,α,ατα,ατος,άτων,feminine,home,area,kitchen
310,GPt%2fTZuz,window,παράθυρο,ο,α,ο,α,ου,ων,neuter,school,,
311,fh*52GMn*`,wine,κρασί,ί,ιά,ί,ιά,ιού,ιών,neuter,drink,,
312,Pd6f=J!ea&,woman,γυναίκα,α,ες,α,ες,ας,ών,feminine,person,,
313,fFVNucmuI1,yard,αυλή,ή,ές,ή,ές,ής,ών,feminine,home,area,
